Gene,Evidence_count
PSMB8,13
RPS24,12
RPL7,12
RPL26,12
RPL5,12
RPL11,12
RPL14,12
RPS6,12
RPS16,12
RPL35A,12
RPS17,12
RPS19,12
RPS28,12
RPS14,11
RPL7A,11
RPL38,11
RPL6,11
RPL23A,11
RPLP0,11
RPL10A,11
PSMB9,11
PSME2,10
RPL31,10
RPL23,10
PSMA2,10
PSMB7,10
PSMA5,10
RPL28,10
RPL8,10
RPL13A,10
PSMA3,10
UBA52,10
RPL29,10
PSMB5,10
PSMA6,10
RPL39,10
PSMB1,10
PSME4,10
PSMB3,10
PSMA1,10
PSMB6,10
RPLP1,10
RPL22,10
RPL21,10
RPL27,10
RPL34,10
RPL12,10
PSMB4,10
RPL9,10
RPL36,10
RPL19,10
RPL17,10
RPL18A,10
RPL15,10
RPL37,10
RPL35,10
RPL4,10
RPS2,10
RPL32,10
PSMA4,10
RPL41,9
RPLP2,9
RPS7,9
PSMD14,9
PSME3,9
PSMD7,9
PSMC5,9
PSMC6,9
PSMD1,9
PSMC1,9
MRPS7,9
MRPL36,9
PSMD12,9
PSMD6,9
PSMD8,9
PSME1,9
PSMC2,9
PSMD13,9
PSMD5,9
MRPS11,9
RPS9,9
PSMD10,9
PSMD2,9
MRPS16,8
MRPS12,8
MRPS14,8
MRPS21,8
RPSA,8
MRPS6,8
MRPS15,8
MRPS17,8
MRPL51,8
NDUFA7,8
RPS5,8
MRPL23,8
RPS27A,8
MVK,7
HMGCS1,7
MVD,7
MRPL13,7
MRPL47,7
MRPL55,7
MRPS18C,7
MRPL16,7
MRPL2,7
OXA1L,7
MRPL57,7
RPS15A,7
RPS13,7
RPS12,7
RPS21,7
MRPL35,7
PTCD3,7
MRPL42,7
MRPS34,7
MRPS2,7
MRPL34,7
TPI1,7
RPS3,7
RPS23,7
RPS8,7
RPS29,7
RPS3A,7
RPS18,7
RPS26,7
PMVK,7
NDUFA13,7
MRPL18,7
MRPL32,7
MRPL3,7
MRPS24,7
MRPS28,7
MRPS36,7
MRPS33,7
MRPL52,7
MRPL24,7
MRPL9,7
GFM2,7
MRPL27,7
MRPL12,6
RPS20,6
RPS4X,6
PGAM1,6
ENO2,6
ENO3,6
ALDOB,6
ENO1,6
ALDOA,6
GAPDH,6
PKM,6
FDFT1,6
MRPL20,6
FDPS,6
MRPL22,6
LSS,6
HMGCR,6
ACLY,6
IDI1,6
SQLE,6
DHCR7,6
HLA-G,6
CYP51A1,6
MRPL28,6
ERAL1,6
GPI,6
HLA-A,6
PGK1,6
ALDOC,6
HK2,6
MRPL21,5
CHCHD1,5
MRPL46,5
MRPL15,5
MRPS26,5
MRPL58,5
MRPL33,5
AK8,5
MRPL44,5
MRPS25,5
DAP3,5
MRPS31,5
MRPL14,5
MRPS10,5
MRPL49,5
WDR12,5
SNU13,5
NVL,5
RRP36,5
MRPL39,5
MRPS22,5
MRPL40,5
MRPL17,5
NDUFS5,5
NDUFA1,5
NDUFC2,5
NDUFB2,5
EMG1,5
NOP14,5
MRTO4,5
EBNA1BP2,5
WDR74,5
MRPS23,5
MRPS35,5
NDUFA9,5
NDUFS1,5
NDUFB10,5
NDUFA5,5
MRPL50,5
NDUFV2,5
NDUFA6,5
NDUFS6,5
NDUFB8,5
NDUFS4,5
NDUFA8,5
NDUFS8,5
NDUFC1,5
NDUFA12,5
AK4,5
AK5,5
NDUFB3,5
AK7,5
NDUFS3,5
NDUFAB1,5
GSPT1,5
IARS2,5
MRPL4,5
MRPL30,5
MRPL48,5
PES1,5
GADD45GIP1,5
MRRF,5
LARS2,5
AURKAIP1,5
NDUFB9,5
NDUFAF1,5
MRPS27,5
MRPL54,5
GSPT2,5
NPM1,4
UTP4,4
NOL11,4
BYSL,4
INSIG1,4
HSD17B7,4
NDUFA2,4
NDUFB5,4
NDUFB4,4
RRP7A,4
DDX52,4
WDR3,4
DARS1,4
LAS1L,4
FARSB,4
TSFM,4
RIOK2,4
TUFM,4
HLA-F,4
GATB,4
HLA-B,4
SURF6,4
GATC,4
IRAK1,4
RPF1,4
NOB1,4
CMPK2,4
SC5D,4
INSIG2,4
NDUFA11,4
OAZ3,4
NDUFB1,4
NQO1,4
ELOVL6,4
WARS1,4
NDUFB6,4
YARS2,4
EBP,4
APOA1,4
ACAT2,4
MSMO1,4
NSDHL,4
TIMM21,3
SCD,3
FASN,3
FGFR4,3
UQCC3,3
NDUFA4,3
FASTKD2,3
GFM1,3
ABCE1,3
ISG20,3
GBP2,3
MX2,3
IL1B,3
CCR7,3
RPS15,3
RPL24,3
RRP9,3
RRP1B,3
KRR1,3
NOLC1,3
UTP18,3
EXOSC4,3
RPL3,3
FCF1,3
LYAR,3
MTREX,3
NOL8,3
PDCD11,3
EIF6,3
SRP72,3
SRP68,3
SRP9,3
HEATR1,3
LTO1,3
SDAD1,3
NOM1,3
BMS1,3
POP5,3
FBL,3
UTP15,3
DDX49,3
SEC61A1,3
SRP19,3
AARS1,3
VARS1,3
AIMP2,3
KARS1,3
NARS1,3
AIMP1,3
EEF1A1,3
GARS1,3
GPAM,3
MARS1,3
EPRS1,3
PPA2,3
RARS1,3
TARS1,3
EXOSC5,3
UTP20,3
PAK1IP1,3
UTP6,3
EXOSC2,3
LTV1,3
HEATR3,3
DDX47,3
EXOSC7,3
DCAF13,3
WDR36,3
NOP16,3
POP4,3
SRP14,3
RCL1,3
C1D,3
IMP3,3
EXOSC8,3
SRP54,3
SEC63,3
TAP1,3
TAP2,3
HKDC1,3
LDHA,3
PGAM4,3
PFKP,3
NCF1,3
NCF2,3
NCF4,3
MPHOSPH6,3
MRM2,3
WDR43,3
DKC1,3
RPF2,3
NIP7,3
OAZ1,3
SKP1,3
PPA1,3
IARS1,3
EEF1E1,3
LARS1,3
YARS1,3
ELOVL5,2
TECR,2
HSD17B12,2
ACSL1,2
NME2,2
CCR2,2
CXCR2,2
PARK7,2
ME1,2
LSP1,2
LSM6,2
B2M,2
MAP3K7,2
FBXW11,2
BBS4,2
NR1H4,2
APOE,2
RUBCNL,2
COX7A2L,2
COX8A,2
SDHAF2,2
COX15,2
COX6A1,2
SRFBP1,2
